num_words,num_unique_words,num_stopwords,num_links,num_unique_domains,num_email_addresses,num_spelling_errors,num_urgent_keywords,label
21,17,0,2,2,0,5,0,0
69,61,17,0,0,0,12,0,1
79,46,17,1,1,0,20,0,0
23,23,6,0,0,0,1,0,0
67,52,27,0,0,0,1,0,0
437,217,120,0,0,0,26,0,1
178,120,27,0,0,14,33,0,0
593,106,89,0,0,0,218,0,1
132,91,26,4,3,1,10,0,1
108,65,42,0,0,0,3,0,0
42,37,9,0,0,0,6,0,0
68,65,9,0,0,0,21,0,1
39,36,8,0,0,0,3,0,0
171,112,45,1,1,4,13,0,1
136,92,59,0,0,0,2,0,0
39,36,14,0,0,0,0,0,0
75,67,14,0,0,0,11,0,0
247,135,97,0,0,0,4,3,0
247,142,77,1,1,1,21,0,0
79,68,14,0,0,0,14,0,1
693,313,250,0,0,0,38,1,0
648,367,173,1,1,0,67,2,0
102,80,28,0,0,1,3,0,0
45,44,6,0,0,0,4,0,1
163,108,54,0,0,0,17,0,1
64,52,22,0,0,0,3,0,1
182,113,60,1,1,2,14,0,0
153,87,30,0,0,1,15,0,0
63,60,7,0,0,0,25,0,1
144,94,37,0,0,13,30,0,0
16,16,5,0,0,0,1,0,0
1334,492,413,4,1,3,43,1,0
37,34,6,0,0,0,8,0,1
16,14,1,0,0,0,3,0,0
187,83,30,4,1,0,44,0,0
184,137,59,1,1,0,12,0,0
439,221,99,0,0,1,62,0,0
1581,644,335,0,0,79,198,1,0
210,147,44,4,3,0,22,1,1
75,61,22,1,1,0,3,0,0
1093,481,329,0,0,0,27,2,0
52,48,14,0,0,0,5,0,1
541,291,160,0,0,0,12,0,0
263,134,65,7,1,1,26,2,0
102,68,6,0,0,0,27,0,1
146,97,49,0,0,0,6,0,1
68,55,19,0,0,0,12,1,0
147,45,13,0,0,0,21,0,0
16,15,7,0,0,0,2,0,0
151,93,39,0,0,1,19,0,0
62,45,20,0,0,0,6,0,1
40,38,7,0,0,0,0,0,1
1289,610,381,3,3,0,85,1,0
21,18,7,0,0,0,1,0,0
110,67,44,0,0,0,1,0,0
1277,563,427,0,0,0,147,2,1
66,54,25,0,0,0,1,1,0
603,590,6,0,0,0,59,1,1
150,93,64,1,1,0,7,0,0
82,62,2,0,0,0,20,0,1
40,36,12,0,0,1,3,0,1
134,90,47,1,1,1,11,1,0
78,59,28,1,1,0,0,0,1
3152,1048,672,9,7,171,617,1,0
311,196,103,0,0,0,21,0,0
62,54,12,0,0,0,5,1,0
82,68,25,0,0,0,14,0,1
204,118,64,0,0,0,1,0,1
492,285,158,0,0,0,91,0,1
89,65,28,0,0,0,16,1,1
124,80,56,0,0,0,1,0,0
21,19,6,0,0,0,4,0,0
735,253,140,2,2,0,50,0,0
161,119,53,1,1,0,2,1,1
89,66,20,0,0,0,5,0,0
251,132,106,0,0,2,1,0,0
250,165,83,1,1,0,10,0,0
80,61,30,1,1,0,0,0,0
65,52,22,0,0,0,6,0,1
67,53,12,0,0,0,5,0,1
52,46,13,0,0,1,1,0,0
32,32,4,0,0,0,2,0,1
21,20,6,0,0,0,0,1,0
96,69,20,0,0,2,13,0,0
325,196,101,0,0,0,21,0,0
196,110,77,0,0,3,2,0,0
505,234,207,2,2,1,16,2,1
377,207,121,2,2,1,5,2,0
320,166,97,6,5,0,17,1,1
64,54,18,2,2,0,5,1,1
89,65,21,0,0,0,5,0,1
130,80,46,4,2,0,9,0,1
201,113,25,0,0,5,63,0,0
78,58,25,0,0,0,2,0,1
43,27,16,0,0,0,7,0,1
93,74,33,0,0,0,8,0,1
100,70,28,0,0,0,18,0,0
88,56,29,0,0,0,3,1,0
68,54,16,0,0,0,15,0,1
206,119,86,0,0,0,17,0,0
437,240,142,0,0,0,8,0,1
41,39,13,0,0,0,1,0,0
142,76,32,0,0,2,7,0,0
1219,462,399,0,0,0,41,0,1
13,13,6,0,0,0,0,0,0
174,114,53,0,0,0,3,1,1
195,103,11,0,0,0,57,0,0
131,84,37,0,0,0,3,0,0
237,143,78,0,0,0,16,0,0
62,54,8,0,0,0,10,0,1
141,88,24,0,0,10,24,0,0
